3_0.1;1
3_0.2;2
3_0.3;3
3_0.4;4
3_0.5;5
5_0.1;6
5_0.2;7
5_0.3;8
5_0.4;9
5_0.5;10
10_0.1;11
10_0.2;12
10_0.3;13
10_0.4;14
10_0.5;15

INSTANCE;CV REF-1;HV 1;EPS 1;GD 1;SIZE 1;SPREAD 1;IGD 1;CV REF-2;HV 2;EPS 2;GD 2;SIZE 2;SPREAD 2;IGD 2;CV REF-3;HV 3;EPS 3;GD 3;SIZE 3;SPREAD 3;IGD 3;CV REF-4;HV 4;EPS 4;GD 4;SIZE 4;SPREAD 4;IGD 4;CV REF-5;HV 5;EPS 5;GD 5;SIZE 5;SPREAD 5;IGD 5;CV REF-6;HV 6;EPS 6;GD 6;SIZE 6;SPREAD 6;IGD 6;CV REF-7;HV 7;EPS 7;GD 7;SIZE 7;SPREAD 7;IGD 7;CV REF-8;HV 8;EPS 8;GD 8;SIZE 8;SPREAD 8;IGD 8;CV REF-9;HV 9;EPS 9;GD 9;SIZE 9;SPREAD 9;IGD 9;CV REF-10;HV 10;EPS 10;GD 10;SIZE 10;SPREAD 10;IGD 10;CV REF-11;HV 11;EPS 11;GD 11;SIZE 11;SPREAD 11;IGD 11;CV REF-12;HV 12;EPS 12;GD 12;SIZE 12;SPREAD 12;IGD 12;CV REF-13;HV 13;EPS 13;GD 13;SIZE 13;SPREAD 13;IGD 13;CV REF-14;HV 14;EPS 14;GD 14;SIZE 14;SPREAD 14;IGD 14;CV REF-15;HV 15;EPS 15;GD 15;SIZE 15;SPREAD 15;IGD 15
